Zeit_s,T_ref_C,RTD_dig,T_Pt100_C
0.00,21.31,8359,24.89
5.00,21.19,8357,24.85
10.00,21.12,8357,24.82
15.00,21.06,8357,24.79
20.00,21.75,8368,25.26
25.00,21.37,8369,25.23
30.00,21.06,8364,25.09
35.00,21.50,8378,25.53
40.00,22.37,8423,27.05
45.00,23.25,8485,29.19
50.00,28.94,8623,34.00
55.00,64.31,9098,50.35
60.00,82.44,9782,73.61
65.00,87.81,10191,87.58
70.00,90.12,10407,94.96
75.00,91.12,10522,98.87
80.00,91.62,10581,100.91
85.00,91.62,10617,102.15
90.00,91.62,10630,102.64
95.00,91.62,10631,102.64
100.00,91.44,10629,102.60
105.00,91.19,10617,102.19
110.00,90.87,10594,101.32
115.00,90.69,10576,100.80
120.00,90.44,10565,100.35
125.00,90.12,10556,100.04
130.00,89.81,10553,99.94
135.00,89.50,10547,99.73
140.00,89.19,10532,99.18
145.00,88.94,10521,98.83
150.00,88.62,10508,98.38
155.00,88.37,10504,98.24
160.00,88.19,10500,98.11
165.00,87.87,10496,97.97
170.00,87.56,10490,97.76
175.00,87.31,10479,97.38
180.00,87.00,10470,97.07
185.00,86.75,10460,96.72
190.00,86.50,10450,96.38
195.00,86.19,10441,96.07
200.00,85.94,10429,95.65
205.00,85.69,10417,95.24
210.00,85.44,10406,94.93
215.00,85.25,10398,94.58
220.00,84.94,10385,94.17
225.00,84.69,10378,93.89
230.00,84.44,10369,93.58
235.00,84.19,10359,93.23
240.00,83.87,10346,92.79
245.00,83.62,10335,92.37
250.00,83.25,10325,92.03
255.00,82.87,10317,91.78
260.00,82.69,10311,91.61
265.00,82.56,10305,91.37
270.00,82.31,10300,91.20
275.00,82.06,10292,90.92
280.00,81.87,10286,90.71
285.00,81.56,10283,90.61
290.00,81.31,10281,90.58
295.00,81.19,10276,90.37
300.00,81.00,10262,89.89
305.00,80.75,10249,89.47
310.00,80.50,10237,89.06
315.00,80.25,10219,88.37
320.00,80.00,10208,88.02
325.00,79.81,10196,87.61
330.00,79.56,10184,87.23
335.00,79.37,10183,87.20
340.00,79.12,10179,87.02
345.00,78.94,10172,86.82
350.00,78.69,10167,86.61
355.00,78.50,10160,86.40
360.00,78.31,10149,85.99
365.00,78.00,10139,85.65
370.00,77.81,10131,85.37
375.00,77.62,10121,85.06
380.00,77.37,10114,84.79
385.00,77.12,10110,84.65
390.00,76.94,10100,84.34
395.00,76.75,10094,84.10
400.00,76.56,10090,83.96
405.00,76.37,10088,83.89
410.00,76.19,10083,83.72
415.00,75.94,10077,83.51
420.00,75.75,10068,83.20
425.00,75.62,10062,83.00
430.00,75.44,10058,82.86
435.00,75.12,10053,82.69
440.00,74.94,10046,82.48
445.00,74.75,10041,82.27
450.00,74.62,10032,81.96
455.00,74.44,10022,81.62
460.00,74.19,10015,81.38
465.00,74.00,10008,81.14
470.00,73.81,10000,80.86
475.00,73.69,9996,80.72
480.00,73.44,9991,80.55
485.00,73.31,9988,80.45
490.00,73.06,9982,80.31
495.00,72.87,9976,80.07
