Zeit_s,T_ref_C,RTD_dig,T_Pt100_C
0.0,91.19,10617,102.19
5.0,90.87,10594,101.32
10.0,90.69,10576,100.8
15.0,90.44,10565,100.35
20.0,90.12,10556,100.04
25.0,89.81,10553,99.94
30.0,89.5,10547,99.73
35.0,89.19,10532,99.18
40.0,88.94,10521,98.83
45.0,88.62,10508,98.38
50.0,88.37,10504,98.24
55.0,88.19,10500,98.11
60.0,87.87,10496,97.97
65.0,87.56,10490,97.76
70.0,87.31,10479,97.38
75.0,87.0,10470,97.07
80.0,86.75,10460,96.72
85.0,86.5,10450,96.38
90.0,86.19,10441,96.07
95.0,85.94,10429,95.65
100.0,85.69,10417,95.24
105.0,85.44,10406,94.93
110.0,85.25,10398,94.58
115.0,84.94,10385,94.17
120.0,84.69,10378,93.89
125.0,84.44,10369,93.58
130.0,84.19,10359,93.23
135.0,83.87,10346,92.79
140.0,83.62,10335,92.37
145.0,83.25,10325,92.03
150.0,82.87,10317,91.78
155.0,82.69,10311,91.61
160.0,82.56,10305,91.37
165.0,82.31,10300,91.2
170.0,82.06,10292,90.92
175.0,81.87,10286,90.71
180.0,81.56,10283,90.61
185.0,81.31,10281,90.58
190.0,81.19,10276,90.37
195.0,81.0,10262,89.89
200.0,80.75,10249,89.47
205.0,80.5,10237,89.06
210.0,80.25,10219,88.37
215.0,80.0,10208,88.02
220.0,79.81,10196,87.61
225.0,79.56,10184,87.23
230.0,79.37,10183,87.2
235.0,79.12,10179,87.02
240.0,78.94,10172,86.82
245.0,78.69,10167,86.61
250.0,78.5,10160,86.4
255.0,78.31,10149,85.99
260.0,78.0,10139,85.65
265.0,77.81,10131,85.37
270.0,77.62,10121,85.06
275.0,77.37,10114,84.79
280.0,77.12,10110,84.65
285.0,76.94,10100,84.34
290.0,76.75,10094,84.1
295.0,76.56,10090,83.96
300.0,76.37,10088,83.89
305.0,76.19,10083,83.72
310.0,75.94,10077,83.51
315.0,75.75,10068,83.2
320.0,75.62,10062,83.0
325.0,75.44,10058,82.86
330.0,75.12,10053,82.69
335.0,74.94,10046,82.48
340.0,74.75,10041,82.27
345.0,74.62,10032,81.96
350.0,74.44,10022,81.62
355.0,74.19,10015,81.38
360.0,74.0,10008,81.14
365.0,73.81,10000,80.86
370.0,73.69,9996,80.72
375.0,73.44,9991,80.55
380.0,73.31,9988,80.45
385.0,73.06,9982,80.31
390.0,72.87,9976,80.07
395.0,72.69,9969,79.8
400.0,72.5,9958,79.45
405.0,72.37,9949,79.07
410.0,72.12,9941,78.83
415.0,72.0,9935,78.63
420.0,71.81,9926,78.32
425.0,71.62,9921,78.18
430.0,71.5,9917,78.04
435.0,71.31,9913,77.9
440.0,71.12,9905,77.6
445.0,70.94,9896,77.29
450.0,70.75,9888,77.01
455.0,70.56,9883,76.84
460.0,70.44,9879,76.74
465.0,70.19,9878,76.7
470.0,70.0,9877,76.63
475.0,69.87,9869,76.36
480.0,69.75,9865,76.26
485.0,69.56,9862,76.15
490.0,69.37,9854,75.88
495.0,69.25,9850,75.71
500.0,69.06,9847,75.6
505.0,68.87,9839,75.33
510.0,68.75,9828,74.98
515.0,68.56,9826,74.88
520.0,68.37,9820,74.64
525.0,68.19,9811,74.4
530.0,68.06,9810,74.3
535.0,67.94,9809,74.26
540.0,67.75,9807,74.2
545.0,67.56,9801,74.02
550.0,67.44,9795,73.82
555.0,67.31,9791,73.68
560.0,67.12,9788,73.58
565.0,67.0,9785,73.44
570.0,66.87,9777,73.2
575.0,66.69,9771,72.99
580.0,66.56,9765,72.79
585.0,66.37,9759,72.62
590.0,66.25,9753,72.34
595.0,66.12,9745,72.1
600.0,66.0,9739,71.93
605.0,65.87,9734,71.76
610.0,65.69,9730,71.62
615.0,65.62,9730,71.59
620.0,65.44,9726,71.48
625.0,65.31,9721,71.28
630.0,65.12,9716,71.14
635.0,65.0,9714,71.04
640.0,64.87,9712,70.97
645.0,64.69,9708,70.83
650.0,64.56,9700,70.56
655.0,64.37,9690,70.25
660.0,64.25,9685,70.08
665.0,64.12,9682,69.94
670.0,63.94,9678,69.8
675.0,63.81,9674,69.7
680.0,63.69,9670,69.53
685.0,63.56,9663,69.29
690.0,63.44,9663,69.29
695.0,63.31,9663,69.29
700.0,63.19,9658,69.12
705.0,63.0,9654,68.98
710.0,62.88,9649,68.81
715.0,62.75,9643,68.57
720.0,62.63,9640,68.57
725.0,62.5,9639,68.47
730.0,62.38,9636,68.36
735.0,62.25,9630,68.16
740.0,62.13,9624,67.95
745.0,61.94,9621,67.85
750.0,61.88,9618,67.75
755.0,61.75,9612,67.54
760.0,61.56,9609,67.44
765.0,61.44,9606,67.37
770.0,61.38,9603,67.23
775.0,61.19,9597,67.03
780.0,61.06,9593,66.93
785.0,60.94,9591,66.82
790.0,60.81,9588,66.72
795.0,60.75,9584,66.58
800.0,60.63,9582,66.51
805.0,60.5,9579,66.45
810.0,60.38,9577,66.34
815.0,60.25,9573,66.24
820.0,60.13,9569,66.07
825.0,60.0,9562,65.83
830.0,59.94,9557,65.66
835.0,59.81,9555,65.59
840.0,59.69,9552,65.49
845.0,59.63,9549,65.38
850.0,59.5,9546,65.28
855.0,59.31,9542,65.14
860.0,59.25,9537,65.01
865.0,59.13,9532,64.8
870.0,59.0,9525,64.56
875.0,58.94,9518,64.32
880.0,58.75,9517,64.25
885.0,58.63,9515,64.22
890.0,58.5,9512,64.08
895.0,58.44,9505,63.88
900.0,58.31,9503,63.81
905.0,58.19,9502,63.81
910.0,58.06,9502,63.78
915.0,57.94,9500,63.78
920.0,57.88,9496,63.57
925.0,57.75,9489,63.37
930.0,57.63,9487,63.26
935.0,57.5,9484,63.16
940.0,57.38,9481,63.02
945.0,57.25,9478,62.92
950.0,57.19,9475,62.82
955.0,57.13,9471,62.72
960.0,56.94,9467,62.58
965.0,56.88,9462,62.44
970.0,56.75,9459,62.3
975.0,56.63,9457,62.24
980.0,56.5,9453,62.1
985.0,56.44,9451,62.03
990.0,56.31,9449,61.96
995.0,56.25,9445,61.83
1000.0,56.13,9442,61.72
1005.0,56.0,9439,61.62
1010.0,55.88,9436,61.52
1015.0,55.81,9433,61.45
1020.0,55.69,9430,61.31
1025.0,55.56,9428,61.24
1030.0,55.5,9424,61.11
1035.0,55.38,9419,60.94
1040.0,55.31,9414,60.8
1045.0,55.19,9411,60.66
1050.0,55.13,9409,60.59
1055.0,55.0,9406,60.49
1060.0,54.94,9403,60.39
1065.0,54.81,9401,60.32
1070.0,54.69,9400,60.25
1075.0,54.63,9397,60.18
1080.0,54.5,9393,60.08
1085.0,54.44,9390,59.95
1090.0,54.31,9386,59.84
1095.0,54.25,9385,59.77
1100.0,54.13,9384,59.74
1105.0,54.0,9380,59.64
1110.0,53.94,9377,59.5
1115.0,53.81,9372,59.36
1120.0,53.75,9369,59.26
1125.0,53.63,9367,59.16
1130.0,53.56,9365,59.09
1135.0,53.44,9363,59.02
1140.0,53.38,9356,58.78
1145.0,53.25,9350,58.58
1150.0,53.19,9347,58.48
1155.0,53.13,9345,58.41
1160.0,53.0,9344,58.37
1165.0,52.88,9341,58.3
1170.0,52.81,9339,58.2
1175.0,52.69,9337,58.13
1180.0,52.63,9334,58.03
1185.0,52.56,9332,57.96
1190.0,52.5,9331,57.93
1195.0,52.38,9329,57.89
1200.0,52.31,9328,57.86
1205.0,52.25,9327,57.83
1210.0,52.13,9325,57.72
1215.0,52.0,9322,57.62
1220.0,51.94,9318,57.48
1225.0,51.81,9314,57.35
1230.0,51.75,9310,57.21
1235.0,51.69,9308,57.14
1240.0,51.56,9306,57.11
1245.0,51.5,9304,57.04
1250.0,51.44,9303,56.97
1255.0,51.31,9300,56.87
1260.0,51.25,9298,56.8
1265.0,51.19,9295,56.7
1270.0,51.06,9291,56.6
1275.0,51.0,9288,56.49
1280.0,50.94,9286,56.43
1285.0,50.81,9284,56.36
1290.0,50.75,9282,56.22
1295.0,50.63,9279,56.15
1300.0,50.56,9275,56.05
1305.0,50.5,9272,55.91
1310.0,50.44,9270,55.81
1315.0,50.31,9264,55.68
1320.0,50.25,9262,55.61
1325.0,50.13,9260,55.47
1330.0,50.06,9254,55.33
1335.0,50.0,9252,55.2
1340.0,49.88,9249,55.16
1345.0,49.81,9247,55.09
1350.0,49.75,9246,55.03
1355.0,49.69,9244,54.92
1360.0,49.56,9242,54.92
1365.0,49.5,9241,54.89
1370.0,49.44,9240,54.82
1375.0,49.31,9238,54.75
1380.0,49.25,9235,54.65
1385.0,49.19,9231,54.51
1390.0,49.13,9229,54.45
1395.0,49.0,9227,54.34
1400.0,48.94,9225,54.31
1405.0,48.88,9221,54.17
1410.0,48.81,9218,54.07
1415.0,48.69,9216,54.04
1420.0,48.63,9215,53.93
1425.0,48.56,9212,53.87
1430.0,48.5,9209,53.76
1435.0,48.38,9207,53.7
1440.0,48.31,9204,53.59
1445.0,48.25,9201,53.53
1450.0,48.19,9199,53.42
1455.0,48.13,9195,53.29
1460.0,48.0,9193,53.22
1465.0,47.94,9191,53.15
1470.0,47.88,9189,53.08
1475.0,47.81,9186,53.01
1480.0,47.75,9185,52.95
1485.0,47.63,9185,52.95
1490.0,47.56,9184,52.91
1495.0,47.5,9183,52.88
1500.0,47.44,9181,52.77
1505.0,47.38,9176,52.64
1510.0,47.31,9171,52.5
1515.0,47.25,9167,52.33
1520.0,47.13,9166,52.3
1525.0,47.06,9165,52.3
1530.0,47.0,9163,52.26
1535.0,46.94,9164,52.23
1540.0,46.88,9162,52.13
1545.0,46.81,9160,52.09
1550.0,46.75,9159,52.06
1555.0,46.63,9156,51.99
1560.0,46.56,9155,51.92
1565.0,46.5,9153,51.85
1570.0,46.44,9152,51.82
1575.0,46.38,9149,51.75
1580.0,46.31,9146,51.68
1585.0,46.25,9145,51.58
1590.0,46.19,9142,51.48
1595.0,46.06,9140,51.41
1600.0,46.0,9138,51.34
1605.0,45.94,9136,51.27
1610.0,45.88,9133,51.21
1615.0,45.81,9131,51.07
1620.0,45.75,9128,51.0
1625.0,45.69,9126,50.93
1630.0,45.63,9123,50.83
1635.0,45.56,9120,50.73
1640.0,45.5,9118,50.66
1645.0,45.44,9116,50.59
1650.0,45.38,9112,50.49
1655.0,45.25,9110,50.42
1660.0,45.19,9108,50.35
1665.0,45.19,9107,50.29
1670.0,45.13,9105,50.22
1675.0,45.0,9104,50.22
1680.0,44.94,9104,50.22
1685.0,44.88,9103,50.15
1690.0,44.81,9100,50.05
1695.0,44.75,9098,49.94
1700.0,44.75,9095,49.88
1705.0,44.63,9093,49.84
1710.0,44.56,9091,49.74
1715.0,44.5,9088,49.67
1720.0,44.44,9087,49.64
1725.0,44.38,9086,49.57
1730.0,44.31,9084,49.5
1735.0,44.25,9082,49.47
1740.0,44.19,9080,49.4
1745.0,44.13,9080,49.33
1750.0,44.06,9078,49.3
1755.0,44.0,9076,49.23
1760.0,43.94,9073,49.16
1765.0,43.88,9072,49.09
1770.0,43.81,9069,49.02
