Zeit_s,RTD_dig,T_Pt100_C
0.00,8363,24.99
0.10,8363,25.02
0.20,8363,25.02
0.30,8363,25.02
0.40,8363,25.02
0.50,8363,25.02
0.60,8363,25.02
0.70,8363,25.02
0.80,8363,25.02
0.90,8363,25.02
1.00,8363,25.06
1.10,8364,25.06
1.20,8364,25.06
1.30,8363,25.02
1.40,8363,25.06
1.50,8363,25.02
1.60,8363,25.02
1.70,8364,25.06
1.80,8363,25.02
1.90,8364,25.06
2.00,8363,25.02
2.10,8364,25.06
2.20,8363,25.02
2.30,8364,25.02
2.40,8364,25.06
2.50,8364,25.02
2.60,8363,25.06
2.70,8363,25.06
2.80,8363,25.02
2.90,8364,25.06
3.00,8363,25.06
3.10,8364,25.06
3.20,8363,25.02
3.30,8363,25.02
3.40,8363,25.06
3.50,8364,25.06
3.60,8363,25.02
3.70,8364,25.02
3.80,8364,25.02
3.90,8363,25.02
4.00,8364,25.02
4.10,8363,25.06
4.20,8363,25.02
4.30,8363,25.06
4.40,8364,25.06
4.50,8363,25.06
4.60,8363,25.02
4.70,8363,25.06
4.80,8363,25.02
4.90,8363,25.02
5.00,8363,25.02
5.10,8363,25.02
5.20,8363,25.06
5.30,8363,25.02
5.40,8363,25.02
5.50,8363,25.02
5.60,8364,25.02
5.70,8364,25.02
5.80,8363,25.06
5.90,8364,25.02
6.00,8364,25.02
6.10,8363,25.02
6.20,8363,25.02
6.30,8363,25.02
6.40,8363,25.02
6.50,8362,25.02
6.60,8364,25.02
6.70,8363,25.02
6.80,8363,25.06
6.90,8363,25.02
7.00,8363,25.02
7.10,8363,25.02
7.20,8363,25.02
7.30,8363,25.02
7.40,8363,25.02
7.50,8362,24.99
7.60,8363,25.02
7.70,8362,25.02
7.80,8363,25.02
7.90,8362,25.02
8.00,8363,25.02
8.10,8362,25.02
8.20,8363,25.02
8.30,8363,25.02
8.40,8362,24.99
8.50,8362,25.02
8.60,8362,24.99
8.70,8362,25.02
8.80,8363,24.99
8.90,8363,25.02
