# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A           	N/A           	N/A           
0.1           	1.000000e+00	1.000000e+00	1.000000e+00
0.2           	2.617872e-01	2.691705e-01	3.688191e-01
0.3           	4.560678e-01	2.934256e-01	4.116221e-01
0.4           	5.657012e-01	1.022670e-01	1.782808e-01
0.5           	9.008897e-01	6.270774e-02	1.359677e-01
0.6           	8.363630e-01	5.174325e-02	9.695967e-02
0.7           	8.786947e-01	3.527499e-02	6.440904e-02
0.8           	8.745229e-01	3.480671e-02	5.937234e-02
0.9           	8.316240e-01	2.855639e-02	4.525921e-02
1             	9.117899e-01	2.720203e-02	3.980326e-02
1.1           	7.922926e-01	2.730377e-02	4.513059e-02
1.2           	9.101962e-01	2.571881e-02	3.184815e-02
1.3           	8.356074e-01	2.613042e-02	4.459683e-02
1.4           	9.020080e-01	2.351881e-02	3.018708e-02
1.5           	8.249791e-01	2.418292e-02	4.307499e-02
1.6           	9.104146e-01	2.185512e-02	2.948111e-02
1.7           	8.214487e-01	2.240383e-02	4.108983e-02
1.8           	8.966996e-01	2.033413e-02	2.855695e-02
1.9           	8.194393e-01	2.076193e-02	3.893630e-02
2             	8.848894e-01	1.892074e-02	2.743547e-02
2.1           	8.182009e-01	1.926720e-02	3.679339e-02
2.2           	8.743434e-01	1.762643e-02	2.619577e-02
2.3           	8.172012e-01	1.791927e-02	3.472978e-02
2.4           	8.644122e-01	1.644930e-02	2.492663e-02
2.5           	8.163734e-01	1.670372e-02	3.278068e-02
2.6           	8.548752e-01	1.538096e-02	2.367710e-02
2.7           	8.155263e-01	1.560584e-02	3.095780e-02
2.8           	8.457775e-01	1.441072e-02	2.247314e-02
2.9           	8.146700e-01	1.461190e-02	2.926133e-02
3             	8.369413e-01	1.352795e-02	2.132840e-02
3.1           	8.139461e-01	1.370896e-02	2.768654e-02
3.2           	8.282300e-01	1.272229e-02	2.024803e-02
3.3           	8.132276e-01	1.288626e-02	2.622636e-02
3.4           	8.198243e-01	1.197901e-02	1.922194e-02
3.5           	8.124728e-01	1.212693e-02	2.485894e-02
3.6           	8.112325e-01	1.129896e-02	1.826295e-02
3.7           	8.121445e-01	1.142740e-02	2.357959e-02
3.8           	8.027501e-01	1.067022e-02	1.735418e-02
3.9           	8.116016e-01	1.078662e-02	2.239494e-02
4             	7.942522e-01	1.009354e-02	1.650779e-02
4.1           	8.112186e-01	1.019750e-02	2.129494e-02
4.2           	7.858223e-01	9.562628e-03	1.571656e-02
4.3           	8.106885e-01	9.653489e-03	2.026963e-02
4.4           	7.772818e-01	9.072107e-03	1.497683e-02
4.5           	8.108421e-01	9.153540e-03	1.931205e-02
4.6           	7.685286e-01	8.617767e-03	1.428345e-02
4.7           	8.109184e-01	8.689653e-03	1.841609e-02
4.8           	7.598303e-01	8.196919e-03	1.363342e-02
4.9           	8.110843e-01	8.258760e-03	1.757732e-02
5             	7.511725e-01	7.806661e-03	1.302416e-02
5.1           	8.113704e-01	7.858799e-03	1.679168e-02
5.2           	7.425185e-01	7.445141e-03	1.245339e-02
5.3           	8.118482e-01	7.486298e-03	1.605498e-02
5.4           	7.338500e-01	7.109562e-03	1.191788e-02
5.5           	8.125606e-01	7.139099e-03	1.536330e-02
5.6           	7.251412e-01	6.798151e-03	1.141503e-02
5.7           	8.134740e-01	6.815345e-03	1.471285e-02
5.8           	7.163270e-01	6.510355e-03	1.094227e-02
5.9           	8.146231e-01	6.513312e-03	1.410066e-02
6             	7.074872e-01	6.246160e-03	1.049779e-02
6.1           	8.160282e-01	6.230806e-03	1.352395e-02
6.2           	6.986394e-01	6.006897e-03	1.007914e-02
6.3           	8.177280e-01	5.966359e-03	1.297976e-02
6.4           	6.897625e-01	5.791734e-03	9.684317e-03
6.5           	8.197193e-01	5.718542e-03	1.246587e-02
6.6           	6.808408e-01	5.589610e-03	9.311880e-03
6.7           	8.219734e-01	5.485749e-03	1.197998e-02
6.8           	6.718798e-01	5.398843e-03	8.959840e-03
6.9           	8.245336e-01	5.267165e-03	1.151999e-02
7             	6.628921e-01	5.218822e-03	8.627350e-03
7.1           	8.274013e-01	5.061979e-03	1.108430e-02
7.2           	6.538643e-01	5.048773e-03	8.312879e-03
7.3           	8.305728e-01	4.869102e-03	1.067125e-02
7.4           	6.448135e-01	4.888039e-03	8.015520e-03
7.5           	8.266670e-01	4.687889e-03	1.027956e-02
7.6           	6.357532e-01	4.736005e-03	7.733853e-03
7.7           	8.155734e-01	4.517248e-03	9.907835e-03
7.8           	6.266685e-01	4.592114e-03	7.467011e-03
7.9           	8.042326e-01	4.356454e-03	9.554780e-03
8             	6.176086e-01	4.455703e-03	7.213719e-03
8.1           	7.926024e-01	4.205075e-03	9.219161e-03
8.2           	6.085055e-01	4.326521e-03	6.973221e-03
8.3           	7.808791e-01	4.062276e-03	8.899865e-03
8.4           	5.993870e-01	4.203994e-03	6.744885e-03
8.5           	7.689913e-01	3.927484e-03	8.595978e-03
8.6           	5.902837e-01	4.087723e-03	6.527886e-03
8.7           	7.569135e-01	3.800435e-03	8.306645e-03
8.8           	5.811963e-01	3.977408e-03	6.321476e-03
8.9           	7.447303e-01	3.680746e-03	8.031068e-03
9             	5.721083e-01	3.872644e-03	6.125095e-03
9.1           	7.323740e-01	3.567825e-03	7.768419e-03
9.2           	5.630447e-01	3.772975e-03	5.938071e-03
9.3           	7.200223e-01	3.460852e-03	7.517532e-03
9.4           	5.538696e-01	3.678760e-03	5.759593e-03
9.5           	7.075305e-01	3.359883e-03	7.278261e-03
9.6           	5.449046e-01	3.586157e-03	5.584442e-03
9.7           	6.945891e-01	3.261281e-03	7.040687e-03
9.8           	5.357006e-01	3.498326e-03	5.417998e-03
9.9           	6.816855e-01	3.168827e-03	6.816732e-03
10            	5.266136e-01	3.414816e-03	5.259952e-03
10.1          	6.679344e-01	3.080764e-03	6.594379e-03
10.2          	5.175117e-01	3.332924e-03	5.104016e-03
10.3          	6.547463e-01	2.996999e-03	6.385315e-03
10.4          	5.084052e-01	3.255469e-03	4.956975e-03
10.5          	6.416962e-01	2.918379e-03	6.187896e-03
10.6          	4.993611e-01	3.182015e-03	4.817436e-03
10.7          	6.287513e-01	2.844492e-03	6.000286e-03
10.8          	4.903905e-01	3.112224e-03	4.684623e-03
10.9          	6.159460e-01	2.774796e-03	5.821466e-03
11            	4.815137e-01	3.045809e-03	4.557829e-03
11.1          	6.032737e-01	2.708985e-03	5.650629e-03
11.2          	4.727307e-01	2.982543e-03	4.436525e-03
11.3          	5.907473e-01	2.646773e-03	5.487187e-03
11.4          	4.640311e-01	2.922234e-03	4.320364e-03
11.5          	5.783724e-01	2.587788e-03	5.330656e-03
11.6          	4.554142e-01	2.864617e-03	4.208919e-03
11.7          	5.661541e-01	2.531970e-03	5.180723e-03
11.8          	4.468971e-01	2.809633e-03	4.102107e-03
11.9          	5.540933e-01	2.479084e-03	5.037039e-03
12            	4.384822e-01	2.757119e-03	3.999711e-03
12.1          	5.422049e-01	2.429011e-03	4.899269e-03
12.2          	4.301811e-01	2.706950e-03	3.901502e-03
12.3          	5.305042e-01	2.381653e-03	4.767093e-03
12.4          	4.220027e-01	2.658991e-03	3.807180e-03
12.5          	5.190213e-01	2.336741e-03	4.640288e-03
12.6          	4.139560e-01	2.613083e-03	3.716581e-03
12.7          	5.077759e-01	2.293988e-03	4.518564e-03
12.8          	4.061363e-01	2.568725e-03	3.629432e-03
12.9          	4.969516e-01	2.252913e-03	4.401527e-03
13            	3.982732e-01	2.526993e-03	3.545500e-03
